Book-Id,track_name,artist_name
1,Señorita,Shawn Mendes
2,China,Anuel AA
3,boyfriend (with Social House),Ariana Grande
4,Beautiful People (feat. Khalid),Ed Sheeran
5,Goodbyes (Feat. Young Thug),Post Malone
6,I Don't Care (with Justin Bieber),Ed Sheeran
7,Ransom,Lil Tecca
8,How Do You Sleep?,Sam Smith
9,Old Town Road - Remix,Lil Nas X
10,bad guy,Billie Eilish
11,Callaita,Bad Bunny
12,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake
13,Someone You Loved,Lewis Capaldi
14,Otro Trago - Remix,Sech
15,Money In The Grave (Drake ft. Rick Ross),Drake
16,No Guidance (feat. Drake),Chris Brown
17,LA CANCIÓN,J Balvin
18,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone
19,Lalala,Y2K
20,Truth Hurts,Lizzo
21,Piece Of Your Heart,MEDUZA
22,Panini,Lil Nas X
23,No Me Conoce - Remix,Jhay Cortez
24,Soltera - Remix,Lunay
25,bad guy (with Justin Bieber),Billie Eilish
26,If I Can't Have You,Shawn Mendes
27,Dance Monkey,Tones and I
28,It's You,Ali Gatie
29,Con Calma,Daddy Yankee
30,QUE PRETENDES,J Balvin
31,Takeaway,The Chainsmokers
32,7 rings,Ariana Grande
33,0.9583333333,Maluma
34,The London (feat. J. Cole & Travis Scott),Young Thug
35,Never Really Over,Katy Perry
36,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix
37,Otro Trago,Sech
38,Antisocial (with Travis Scott),Ed Sheeran
39,Sucker,Jonas Brothers
40,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv
41,Higher Love,Kygo
42,You Need To Calm Down,Taylor Swift
43,Shallow,Lady Gaga
44,Talk,Khalid
45,Con Altura,ROSALÍA
46,One Thing Right,Marshmello
47,Te Robaré,Nicky Jam
48,Happier,Marshmello
49,Call You Mine,The Chainsmokers
50,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran
